candidate,candidate_source,hypothesis,trial_index,run_id,benchmark,options,returncode,success,timed_out,error,fault_coverage,test_patterns,test_patterns_before_compaction,test_patterns_after_compaction,collapsed_faults,redundant_faults,aborted_faults,backtrackings,runtime_seconds,adaptive_compaction_enabled,adaptive_shuffle_limit,adaptive_compaction_stopped_early,adaptive_compaction_min_benefit,score,raw_score,passes_constraints,constraint_reason,run_dir
adaptive_default,adaptive_compaction,Evaluate the adaptive shuffle-stop core with default Atalanta options.,1,20260615-175555_candidate_adaptive_default_trial1_pcitc_ba75a9a8,pcitc.bench,[],0,True,False,,99.826,5971,7069,5971,75768,131,1,134,11.35,True,1,True,1.0,38.980999999999995,38.980999999999995,True,,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260615-175555_candidate_adaptive_default_trial1_pcitc_ba75a9a8
adaptive_default,adaptive_compaction,Evaluate the adaptive shuffle-stop core with default Atalanta options.,2,20260615-175602_candidate_adaptive_default_trial2_pcitc_8bbcec59,pcitc.bench,[],0,True,False,,99.826,5974,7069,5974,75768,131,1,134,11.333,True,1,True,1.0,38.95269999999999,38.95269999999999,True,,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260615-175602_candidate_adaptive_default_trial2_pcitc_8bbcec59
adaptive_default,adaptive_compaction,Evaluate the adaptive shuffle-stop core with default Atalanta options.,3,20260615-175609_candidate_adaptive_default_trial3_pcitc_c6899938,pcitc.bench,[],0,True,False,,99.826,5974,7069,5974,75768,131,1,134,11.6,True,1,True,1.0,38.925999999999995,38.925999999999995,True,,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260615-175609_candidate_adaptive_default_trial3_pcitc_c6899938
adaptive_default,adaptive_compaction,Evaluate the adaptive shuffle-stop core with default Atalanta options.,1,20260615-175616_candidate_adaptive_default_trial1_destc_3891ad70,destc.bench,[],0,True,False,,100.0,390,477,390,295215,0,0,1,12.967,True,1,True,1.0,94.8033,94.8033,True,,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260615-175616_candidate_adaptive_default_trial1_destc_3891ad70
adaptive_default,adaptive_compaction,Evaluate the adaptive shuffle-stop core with default Atalanta options.,2,20260615-175624_candidate_adaptive_default_trial2_destc_73606dd8,destc.bench,[],0,True,False,,100.0,388,477,388,295215,0,0,1,11.783,True,1,True,1.0,94.94170000000001,94.94170000000001,True,,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260615-175624_candidate_adaptive_default_trial2_destc_73606dd8
adaptive_default,adaptive_compaction,Evaluate the adaptive shuffle-stop core with default Atalanta options.,3,20260615-175631_candidate_adaptive_default_trial3_destc_3332a1c9,destc.bench,[],0,True,False,,100.0,390,477,390,295215,0,0,1,12.0,True,1,True,1.0,94.89999999999999,94.89999999999999,True,,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260615-175631_candidate_adaptive_default_trial3_destc_3332a1c9
adaptive_default,adaptive_compaction,Evaluate the adaptive shuffle-stop core with default Atalanta options.,1,20260615-175638_candidate_adaptive_default_trial1_DMAtc_0fc937d1,DMAtc.bench,[],0,True,False,,94.562,10808,12557,10808,77788,2071,2159,24460,31.233,True,1,True,1.0,-16.6413,-16.6413,True,,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260615-175638_candidate_adaptive_default_trial1_DMAtc_0fc937d1
adaptive_default,adaptive_compaction,Evaluate the adaptive shuffle-stop core with default Atalanta options.,2,20260615-175657_candidate_adaptive_default_trial2_DMAtc_1c450685,DMAtc.bench,[],0,True,False,,94.562,10809,12557,10809,77788,2071,2159,24460,30.3,True,1,True,1.0,-16.558000000000007,-16.558000000000007,True,,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260615-175657_candidate_adaptive_default_trial2_DMAtc_1c450685
adaptive_default,adaptive_compaction,Evaluate the adaptive shuffle-stop core with default Atalanta options.,3,20260615-175715_candidate_adaptive_default_trial3_DMAtc_0f7c3262,DMAtc.bench,[],0,True,False,,94.562,10809,12557,10809,77788,2071,2159,24460,30.7,True,1,True,1.0,-16.598000000000006,-16.598000000000006,True,,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260615-175715_candidate_adaptive_default_trial3_DMAtc_0f7c3262
adaptive_c1,adaptive_compaction,Explicitly request one shuffle window under the adaptive compaction core.,1,20260615-175734_candidate_adaptive_c1_trial1_pcitc_29675742,pcitc.bench,"[""-c"", ""1""]",0,True,False,,99.826,5943,7069,5943,75768,131,1,134,12.717,True,1,False,1.0,39.12429999999999,39.12429999999999,True,,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260615-175734_candidate_adaptive_c1_trial1_pcitc_29675742
