candidate,candidate_source,hypothesis,run_id,benchmark,options,returncode,success,timed_out,error,fault_coverage,test_patterns,test_patterns_before_compaction,test_patterns_after_compaction,collapsed_faults,redundant_faults,aborted_faults,backtrackings,runtime_seconds,score,raw_score,passes_constraints,constraint_reason,run_dir
default,default,Baseline Atalanta options for comparison.,20260613-174030_candidate_default_pcitc_2f964e3a,pcitc.bench,[],0,True,False,,99.826,5943,7069,5943,75768,131,1,134,12.717,39.12429999999999,39.12429999999999,True,,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/LLM-Atalanta/results/runs/20260613-174030_candidate_default_pcitc_2f964e3a
default,default,Baseline Atalanta options for comparison.,20260613-174038_candidate_default_destc_3798b3f8,destc.bench,[],0,True,False,,100.0,355,477,355,295215,0,0,1,20.367,94.4133,94.4133,True,,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/LLM-Atalanta/results/runs/20260613-174038_candidate_default_destc_3798b3f8
default,default,Baseline Atalanta options for comparison.,20260613-174050_candidate_default_DMAtc_65f39ca6,DMAtc.bench,[],0,True,False,,94.562,10723,12557,10723,77788,2071,2159,24460,35.05,-16.173000000000005,-16.173000000000005,True,,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/LLM-Atalanta/results/runs/20260613-174050_candidate_default_DMAtc_65f39ca6
no_compaction,default,Disable test compaction to measure its effect on runtime and coverage.,20260613-174112_candidate_no_compaction_pcitc_c5482e24,pcitc.bench,"[""-N""]",0,True,False,,99.826,7069,,,75768,131,1,134,11.15,28.020999999999997,28.020999999999997,True,,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/LLM-Atalanta/results/runs/20260613-174112_candidate_no_compaction_pcitc_c5482e24
no_compaction,default,Disable test compaction to measure its effect on runtime and coverage.,20260613-174118_candidate_no_compaction_destc_19c21b7b,destc.bench,"[""-N""]",0,True,False,,100.0,477,,,295215,0,0,1,10.633,94.1667,94.1667,True,,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/LLM-Atalanta/results/runs/20260613-174118_candidate_no_compaction_destc_19c21b7b
no_compaction,default,Disable test compaction to measure its effect on runtime and coverage.,20260613-174125_candidate_no_compaction_DMAtc_684730cd,DMAtc.bench,"[""-N""]",0,True,False,,94.562,12557,,,77788,2071,2159,24460,30.1,-34.01800000000001,-34.01800000000001,True,,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/LLM-Atalanta/results/runs/20260613-174125_candidate_no_compaction_DMAtc_684730cd
reverse_only_compaction,default,"Use reverse compaction only, avoiding shuffle overhead.",20260613-174143_candidate_reverse_only_compaction_pcitc_427c8437,pcitc.bench,"[""-c"", ""0""]",0,True,False,,99.826,6022,7069,6022,75768,131,1,134,11.217,38.4843,38.4843,True,,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/LLM-Atalanta/results/runs/20260613-174143_candidate_reverse_only_compaction_pcitc_427c8437
reverse_only_compaction,default,"Use reverse compaction only, avoiding shuffle overhead.",20260613-174150_candidate_reverse_only_compaction_destc_f88f5bc0,destc.bench,"[""-c"", ""0""]",0,True,False,,100.0,420,477,420,295215,0,0,1,11.15,94.685,94.685,True,,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/LLM-Atalanta/results/runs/20260613-174150_candidate_reverse_only_compaction_destc_f88f5bc0
reverse_only_compaction,default,"Use reverse compaction only, avoiding shuffle overhead.",20260613-174156_candidate_reverse_only_compaction_DMAtc_a05e7c41,DMAtc.bench,"[""-c"", ""0""]",0,True,False,,94.562,10957,12557,10957,77788,2071,2159,24460,30.483,-18.05630000000001,-18.05630000000001,True,,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/LLM-Atalanta/results/runs/20260613-174156_candidate_reverse_only_compaction_DMAtc_a05e7c41
phase2_b10,default,Enable dynamic unique path sensitization with a moderate backtrack limit.,20260613-174215_candidate_phase2_b10_pcitc_b24fe105,pcitc.bench,"[""-B"", ""10""]",0,True,False,,99.826,5944,7069,5944,75768,131,1,145,13.783,39.00769999999999,39.00769999999999,True,,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/LLM-Atalanta/results/runs/20260613-174215_candidate_phase2_b10_pcitc_b24fe105
phase2_b10,default,Enable dynamic unique path sensitization with a moderate backtrack limit.,20260613-174223_candidate_phase2_b10_destc_d9fb7a25,destc.bench,"[""-B"", ""10""]",0,True,False,,100.0,345,477,345,295215,0,0,1,25.133,94.0367,94.0367,True,,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/LLM-Atalanta/results/runs/20260613-174223_candidate_phase2_b10_destc_d9fb7a25
phase2_b10,default,Enable dynamic unique path sensitization with a moderate backtrack limit.,20260613-174238_candidate_phase2_b10_DMAtc_78ee4696,DMAtc.bench,"[""-B"", ""10""]",0,True,False,,94.562,10724,12557,10724,77788,2071,2159,48209,43.15,-16.993000000000013,-16.993000000000013,True,,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/LLM-Atalanta/results/runs/20260613-174238_candidate_phase2_b10_DMAtc_78ee4696
phase2_b20,default,Enable deeper phase-2 FAN search for hard aborted faults.,20260613-174304_candidate_phase2_b20_pcitc_baa46dd2,pcitc.bench,"[""-B"", ""20""]",0,True,False,,99.826,5945,7069,5945,75768,131,1,155,13.383,39.037699999999994,39.037699999999994,True,,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/LLM-Atalanta/results/runs/20260613-174304_candidate_phase2_b20_pcitc_baa46dd2
phase2_b20,default,Enable deeper phase-2 FAN search for hard aborted faults.,20260613-174312_candidate_phase2_b20_destc_d6227740,destc.bench,"[""-B"", ""20""]",0,True,False,,100.0,347,477,347,295215,0,0,1,19.883,94.5417,94.5417,True,,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/LLM-Atalanta/results/runs/20260613-174312_candidate_phase2_b20_destc_d6227740
phase2_b20,default,Enable deeper phase-2 FAN search for hard aborted faults.,20260613-174324_candidate_phase2_b20_DMAtc_9600cd58,DMAtc.bench,"[""-B"", ""20""]",0,True,False,,94.562,10722,12557,10722,77788,2979,1251,65345,47.1,-17.368000000000002,-17.368000000000002,True,,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/LLM-Atalanta/results/runs/20260613-174324_candidate_phase2_b20_DMAtc_9600cd58
static_learning,default,Use static learning to reduce repeated implication work.,20260613-174353_candidate_static_learning_pcitc_904b118e,pcitc.bench,"[""-L""]",0,True,False,,99.826,5944,7069,5944,75768,131,1,134,13.85,39.001,39.001,True,,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/LLM-Atalanta/results/runs/20260613-174353_candidate_static_learning_pcitc_904b118e
static_learning,default,Use static learning to reduce repeated implication work.,20260613-174401_candidate_static_learning_destc_33fc49ee,destc.bench,"[""-L""]",0,True,False,,100.0,345,477,345,295215,0,0,1,26.133,93.9367,93.9367,True,,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/LLM-Atalanta/results/runs/20260613-174401_candidate_static_learning_destc_33fc49ee
static_learning,default,Use static learning to reduce repeated implication work.,20260613-174417_candidate_static_learning_DMAtc_2190180c,DMAtc.bench,"[""-L""]",0,True,False,,94.562,10721,12557,10721,77788,2070,2160,24461,39.2,-16.568000000000012,-16.568000000000012,True,,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/LLM-Atalanta/results/runs/20260613-174417_candidate_static_learning_DMAtc_2190180c
