candidate,candidate_source,hypothesis,trial_index,run_id,benchmark,options,returncode,success,timed_out,error,fault_coverage,test_patterns,test_patterns_before_compaction,test_patterns_after_compaction,collapsed_faults,redundant_faults,aborted_faults,backtrackings,runtime_seconds,score,raw_score,passes_constraints,constraint_reason,run_dir
c1_learning,compaction_runtime_local,Local search center: reduce shuffle compaction effort while keeping static learning enabled.,1,20260615-074323_candidate_c1_learning_trial1_pcitc_229246cd,pcitc.bench,"[""-c"", ""1"", ""-L""]",0,True,False,,99.826,5943,7069,5943,75768,131,1,134,14.333,38.96269999999999,38.96269999999999,True,,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/LLM-Atalanta/results/runs/20260615-074323_candidate_c1_learning_trial1_pcitc_229246cd
c1_learning,compaction_runtime_local,Local search center: reduce shuffle compaction effort while keeping static learning enabled.,2,20260615-074331_candidate_c1_learning_trial2_pcitc_1ec351c2,pcitc.bench,"[""-c"", ""1"", ""-L""]",0,True,False,,99.826,5947,7069,5947,75768,131,1,134,14.217,38.93429999999999,38.93429999999999,True,,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/LLM-Atalanta/results/runs/20260615-074331_candidate_c1_learning_trial2_pcitc_1ec351c2
c1_learning,compaction_runtime_local,Local search center: reduce shuffle compaction effort while keeping static learning enabled.,3,20260615-074340_candidate_c1_learning_trial3_pcitc_b83236d1,pcitc.bench,"[""-c"", ""1"", ""-L""]",0,True,False,,99.826,5946,7069,5946,75768,131,1,134,14.1,38.95599999999999,38.95599999999999,True,,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/LLM-Atalanta/results/runs/20260615-074340_candidate_c1_learning_trial3_pcitc_b83236d1
c1_learning,compaction_runtime_local,Local search center: reduce shuffle compaction effort while keeping static learning enabled.,1,20260615-074349_candidate_c1_learning_trial1_destc_107747aa,destc.bench,"[""-c"", ""1"", ""-L""]",0,True,False,,100.0,346,477,346,295215,0,0,1,26.8,93.86,93.86,True,,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/LLM-Atalanta/results/runs/20260615-074349_candidate_c1_learning_trial1_destc_107747aa
c1_learning,compaction_runtime_local,Local search center: reduce shuffle compaction effort while keeping static learning enabled.,2,20260615-074405_candidate_c1_learning_trial2_destc_c6ea5199,destc.bench,"[""-c"", ""1"", ""-L""]",0,True,False,,100.0,358,477,358,295215,0,0,1,22.167,94.2033,94.2033,True,,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/LLM-Atalanta/results/runs/20260615-074405_candidate_c1_learning_trial2_destc_c6ea5199
c1_learning,compaction_runtime_local,Local search center: reduce shuffle compaction effort while keeping static learning enabled.,3,20260615-074418_candidate_c1_learning_trial3_destc_063e8d21,destc.bench,"[""-c"", ""1"", ""-L""]",0,True,False,,100.0,365,477,365,295215,0,0,1,21.75,94.175,94.175,True,,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/LLM-Atalanta/results/runs/20260615-074418_candidate_c1_learning_trial3_destc_063e8d21
c1_learning,compaction_runtime_local,Local search center: reduce shuffle compaction effort while keeping static learning enabled.,1,20260615-074431_candidate_c1_learning_trial1_DMAtc_c50d405c,DMAtc.bench,"[""-c"", ""1"", ""-L""]",0,True,False,,94.562,10725,12557,10725,77788,2070,2160,24461,36.567,-16.344700000000003,-16.344700000000003,True,,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/LLM-Atalanta/results/runs/20260615-074431_candidate_c1_learning_trial1_DMAtc_c50d405c
c1_learning,compaction_runtime_local,Local search center: reduce shuffle compaction effort while keeping static learning enabled.,2,20260615-074453_candidate_c1_learning_trial2_DMAtc_b707dab6,DMAtc.bench,"[""-c"", ""1"", ""-L""]",0,True,False,,94.562,10723,12557,10723,77788,2070,2160,24461,38.933,-16.561300000000006,-16.561300000000006,True,,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/LLM-Atalanta/results/runs/20260615-074453_candidate_c1_learning_trial2_DMAtc_b707dab6
c1_learning,compaction_runtime_local,Local search center: reduce shuffle compaction effort while keeping static learning enabled.,3,20260615-074517_candidate_c1_learning_trial3_DMAtc_2b17ebf1,DMAtc.bench,"[""-c"", ""1"", ""-L""]",0,True,False,,94.562,10722,12557,10722,77788,2070,2160,24461,38.9,-16.548000000000002,-16.548000000000002,True,,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/LLM-Atalanta/results/runs/20260615-074517_candidate_c1_learning_trial3_DMAtc_2b17ebf1
c2_learning,compaction_runtime_local,Default compaction effort with static learning; checks whether learning alone explains the gain.,1,20260615-074541_candidate_c2_learning_trial1_pcitc_3f9cc7d5,pcitc.bench,"[""-c"", ""2"", ""-L""]",0,True,False,,99.826,5943,7069,5943,75768,131,1,134,15.467,38.84929999999999,38.84929999999999,True,,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/LLM-Atalanta/results/runs/20260615-074541_candidate_c2_learning_trial1_pcitc_3f9cc7d5
