candidate,candidate_source,hypothesis,trial_index,run_id,benchmark,options,returncode,success,timed_out,error,fault_coverage,test_patterns,test_patterns_before_compaction,test_patterns_after_compaction,collapsed_faults,redundant_faults,aborted_faults,backtrackings,runtime_seconds,fault_ordering_mode,fault_trace_attempts,generated_patterns_traced,faults_dropped_per_generated_pattern_mean,extra_drops_per_generated_pattern_mean,max_pattern_extra_drops,adaptive_compaction_enabled,adaptive_shuffle_limit,adaptive_compaction_stopped_early,adaptive_compaction_min_benefit,score,raw_score,passes_constraints,constraint_reason,run_dir,fault_trace_path,pattern_trace_path
ordering_default,fault_ordering,Current Atalanta fault order with adaptive compaction enabled.,1,20260615-214112_candidate_ordering_default_trial1_pcitc_1695e7aa,pcitc.bench,[],0,True,False,,99.826,5965,7069,5965,75768,131,1,134,11.733,default,7205,7069,10.699674635733484,9.699674635733484,17505,True,1,True,1.0,39.0027,39.0027,True,,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260615-214112_candidate_ordering_default_trial1_pcitc_1695e7aa,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260615-214112_candidate_ordering_default_trial1_pcitc_1695e7aa/pcitc.test.faulttrace.csv,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260615-214112_candidate_ordering_default_trial1_pcitc_1695e7aa/pcitc.test.patterntrace.csv
ordering_default,fault_ordering,Current Atalanta fault order with adaptive compaction enabled.,2,20260615-214120_candidate_ordering_default_trial2_pcitc_ffcbef2f,pcitc.bench,[],0,True,False,,99.826,5978,7069,5978,75768,131,1,134,11.933,default,7205,7069,10.699674635733484,9.699674635733484,17505,True,1,True,1.0,38.85269999999999,38.85269999999999,True,,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260615-214120_candidate_ordering_default_trial2_pcitc_ffcbef2f,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260615-214120_candidate_ordering_default_trial2_pcitc_ffcbef2f/pcitc.test.faulttrace.csv,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260615-214120_candidate_ordering_default_trial2_pcitc_ffcbef2f/pcitc.test.patterntrace.csv
ordering_default,fault_ordering,Current Atalanta fault order with adaptive compaction enabled.,3,20260615-214127_candidate_ordering_default_trial3_pcitc_3c1e04cd,pcitc.bench,[],0,True,False,,99.826,5974,7069,5974,75768,131,1,134,11.667,default,7205,7069,10.699674635733484,9.699674635733484,17505,True,1,True,1.0,38.91929999999999,38.91929999999999,True,,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260615-214127_candidate_ordering_default_trial3_pcitc_3c1e04cd,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260615-214127_candidate_ordering_default_trial3_pcitc_3c1e04cd/pcitc.test.faulttrace.csv,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260615-214127_candidate_ordering_default_trial3_pcitc_3c1e04cd/pcitc.test.patterntrace.csv
ordering_default,fault_ordering,Current Atalanta fault order with adaptive compaction enabled.,1,20260615-214134_candidate_ordering_default_trial1_destc_bba7c634,destc.bench,[],0,True,False,,100.0,388,477,388,295215,0,0,1,12.85,default,477,477,618.8993710691824,617.8993710691824,74190,True,1,True,1.0,94.83500000000001,94.83500000000001,True,,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260615-214134_candidate_ordering_default_trial1_destc_bba7c634,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260615-214134_candidate_ordering_default_trial1_destc_bba7c634/destc.test.faulttrace.csv,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260615-214134_candidate_ordering_default_trial1_destc_bba7c634/destc.test.patterntrace.csv
ordering_default,fault_ordering,Current Atalanta fault order with adaptive compaction enabled.,2,20260615-214142_candidate_ordering_default_trial2_destc_74198581,destc.bench,[],0,True,False,,100.0,392,477,392,295215,0,0,1,12.617,default,477,477,618.8993710691824,617.8993710691824,74190,True,1,True,1.0,94.8183,94.8183,True,,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260615-214142_candidate_ordering_default_trial2_destc_74198581,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260615-214142_candidate_ordering_default_trial2_destc_74198581/destc.test.faulttrace.csv,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260615-214142_candidate_ordering_default_trial2_destc_74198581/destc.test.patterntrace.csv
ordering_default,fault_ordering,Current Atalanta fault order with adaptive compaction enabled.,3,20260615-214149_candidate_ordering_default_trial3_destc_fabe71a0,destc.bench,[],0,True,False,,100.0,395,477,395,295215,0,0,1,12.683,default,477,477,618.8993710691824,617.8993710691824,74190,True,1,True,1.0,94.7817,94.7817,True,,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260615-214149_candidate_ordering_default_trial3_destc_fabe71a0,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260615-214149_candidate_ordering_default_trial3_destc_fabe71a0/destc.test.faulttrace.csv,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260615-214149_candidate_ordering_default_trial3_destc_fabe71a0/destc.test.patterntrace.csv
ordering_default,fault_ordering,Current Atalanta fault order with adaptive compaction enabled.,1,20260615-214157_candidate_ordering_default_trial1_DMAtc_8ea3bcc1,DMAtc.bench,[],0,True,False,,94.562,10815,12557,10815,77788,2071,2159,24460,31.583,default,16797,12557,5.857927849008521,4.857927849008521,14685,True,1,True,1.0,-16.74630000000001,-16.74630000000001,True,,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260615-214157_candidate_ordering_default_trial1_DMAtc_8ea3bcc1,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260615-214157_candidate_ordering_default_trial1_DMAtc_8ea3bcc1/DMAtc.test.faulttrace.csv,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260615-214157_candidate_ordering_default_trial1_DMAtc_8ea3bcc1/DMAtc.test.patterntrace.csv
ordering_default,fault_ordering,Current Atalanta fault order with adaptive compaction enabled.,2,20260615-214216_candidate_ordering_default_trial2_DMAtc_e0732e3e,DMAtc.bench,[],0,True,False,,94.562,10821,12557,10821,77788,2071,2159,24460,31.267,default,16797,12557,5.857927849008521,4.857927849008521,14685,True,1,True,1.0,-16.77470000000001,-16.77470000000001,True,,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260615-214216_candidate_ordering_default_trial2_DMAtc_e0732e3e,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260615-214216_candidate_ordering_default_trial2_DMAtc_e0732e3e/DMAtc.test.faulttrace.csv,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260615-214216_candidate_ordering_default_trial2_DMAtc_e0732e3e/DMAtc.test.patterntrace.csv
ordering_default,fault_ordering,Current Atalanta fault order with adaptive compaction enabled.,3,20260615-214235_candidate_ordering_default_trial3_DMAtc_fc28c9a7,DMAtc.bench,[],0,True,False,,94.562,10800,12557,10800,77788,2071,2159,24460,31.7,default,16797,12557,5.857927849008521,4.857927849008521,14685,True,1,True,1.0,-16.608000000000004,-16.608000000000004,True,,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260615-214235_candidate_ordering_default_trial3_DMAtc_fc28c9a7,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260615-214235_candidate_ordering_default_trial3_DMAtc_fc28c9a7/DMAtc.test.faulttrace.csv,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260615-214235_candidate_ordering_default_trial3_DMAtc_fc28c9a7/DMAtc.test.patterntrace.csv
easy_first,fault_ordering,Prioritize high-observability and low-controllability-difficulty faults to produce reusable patterns early.,1,20260615-214254_candidate_easy_first_trial1_pcitc_13dacbf8,pcitc.bench,"[""-O"", ""easy""]",0,True,False,,99.826,5923,8118,5923,75768,131,1,54,12.567,easy,8251,8118,9.317073170731707,8.317073170731707,17505,True,1,True,1.0,39.33929999999999,39.33929999999999,True,,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260615-214254_candidate_easy_first_trial1_pcitc_13dacbf8,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260615-214254_candidate_easy_first_trial1_pcitc_13dacbf8/pcitc.test.faulttrace.csv,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260615-214254_candidate_easy_first_trial1_pcitc_13dacbf8/pcitc.test.patterntrace.csv
