candidate,benchmark,trial_index,success,timed_out,coverage_below_baseline,candidate_fault_coverage,baseline_fault_coverage,coverage_delta,pattern_delta,pattern_delta_pct,runtime_delta,runtime_delta_pct,aborted_delta,redundant_delta,backtracking_delta,score_delta,wins_benchmark,candidate_patterns,baseline_patterns,candidate_runtime,baseline_runtime,candidate_aborted_faults,baseline_aborted_faults,candidate_redundant_faults,baseline_redundant_faults,candidate_backtrackings,baseline_backtrackings,candidate_score,baseline_score,fault_ordering_mode,adaptive_phase2_enabled,adaptive_phase2_profile_faults,adaptive_phase2_attempted_faults,adaptive_phase2_skipped_faults,faults_dropped_per_generated_pattern_mean,extra_drops_per_generated_pattern_mean,max_pattern_extra_drops,adaptive_compaction_enabled,adaptive_shuffle_limit,adaptive_compaction_stopped_early,adaptive_compaction_min_benefit,run_id,run_dir
history_adaptive_phase2,pcitc.bench,1,True,False,False,99.826,99.82599999999998,1.4210854715202004e-14,29.0,0.4879690392057883,-3.2329999999999988,-23.801811087388643,3.0,-3.0,-90.0,0.033300000000004104,True,5972.0,5943.0,10.35,13.582999999999998,4.0,1.0,128.0,131.0,44.0,134.0,39.071,39.037699999999994,history,True,1,0,4,12.599700149925038,11.599700149925038,17505,True,1,True,1.0,20260616-160316_candidate_history_adaptive_phase2_trial1_pcitc_a214c188,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260616-160316_candidate_history_adaptive_phase2_trial1_pcitc_a214c188
history_adaptive_phase2,pcitc.bench,2,True,False,False,99.826,99.82599999999998,1.4210854715202004e-14,28.0,0.47114252061248524,-2.882999999999999,-21.22506073768681,3.0,-3.0,-90.0,0.00829999999999842,True,5971.0,5943.0,10.7,13.582999999999998,4.0,1.0,128.0,131.0,44.0,134.0,39.04599999999999,39.037699999999994,history,True,1,0,4,12.599700149925038,11.599700149925038,17505,True,1,True,1.0,20260616-160323_candidate_history_adaptive_phase2_trial2_pcitc_817b0184,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260616-160323_candidate_history_adaptive_phase2_trial2_pcitc_817b0184
history_adaptive_phase2,pcitc.bench,3,True,False,False,99.826,99.82599999999998,1.4210854715202004e-14,27.0,0.4543160020191822,-3.2159999999999975,-23.676654641831686,3.0,-3.0,-90.0,0.05159999999999343,True,5970.0,5943.0,10.367,13.582999999999998,4.0,1.0,128.0,131.0,44.0,134.0,39.08929999999999,39.037699999999994,history,True,1,0,4,12.599700149925038,11.599700149925038,17505,True,1,True,1.0,20260616-160329_candidate_history_adaptive_phase2_trial3_pcitc_4e00954c,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260616-160329_candidate_history_adaptive_phase2_trial3_pcitc_4e00954c
history_adaptive_phase2,destc.bench,1,True,False,False,100.0,100.0,0.0,14.666666666666686,4.2226487523992375,-11.399333333333331,-49.74326899300353,0.0,0.0,0.0,0.9932666666666563,True,362.0,347.3333333333333,11.517,22.91633333333333,0.0,0.0,0.0,0.0,1.0,1.0,95.22829999999999,94.23503333333333,history,True,0,0,0,768.7890625,767.7890625,74190,True,1,True,1.0,20260616-160336_candidate_history_adaptive_phase2_trial1_destc_965fff13,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260616-160336_candidate_history_adaptive_phase2_trial1_destc_965fff13
history_adaptive_phase2,destc.bench,2,True,False,False,100.0,100.0,0.0,13.666666666666686,3.934740882917472,-10.716333333333331,-46.762862005265525,0.0,0.0,0.0,0.9349666666666678,True,361.0,347.3333333333333,12.2,22.91633333333333,0.0,0.0,0.0,0.0,1.0,1.0,95.17,94.23503333333333,history,True,0,0,0,768.7890625,767.7890625,74190,True,1,True,1.0,20260616-160343_candidate_history_adaptive_phase2_trial2_destc_c3cb83e7,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260616-160343_candidate_history_adaptive_phase2_trial2_destc_c3cb83e7
history_adaptive_phase2,destc.bench,3,True,False,False,100.0,100.0,0.0,16.666666666666686,4.798464491362769,-11.04933333333333,-48.215974050531635,0.0,0.0,0.0,0.9382666666666637,True,364.0,347.3333333333333,11.867,22.91633333333333,0.0,0.0,0.0,0.0,1.0,1.0,95.1733,94.23503333333333,history,True,0,0,0,768.7890625,767.7890625,74190,True,1,True,1.0,20260616-160350_candidate_history_adaptive_phase2_trial3_destc_286a128a,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260616-160350_candidate_history_adaptive_phase2_trial3_destc_286a128a
history_adaptive_phase2,DMAtc.bench,1,True,False,False,94.562,94.562,0.0,36.66666666666606,0.34193347839601546,-9.978333333333332,-26.671953240550987,60.0,-60.0,-8005.0,0.6311666666666635,True,10760.0,10723.333333333334,27.433,37.41133333333333,2219.0,2159.0,2011.0,2071.0,16455.0,24460.0,-15.78130000000001,-16.412466666666674,history,True,572,571,1671,6.8033666296707365,5.8033666296707365,14685,True,1,True,1.0,20260616-160357_candidate_history_adaptive_phase2_trial1_DMAtc_5c7e6013,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260616-160357_candidate_history_adaptive_phase2_trial1_DMAtc_5c7e6013
history_adaptive_phase2,DMAtc.bench,2,True,False,False,94.562,94.562,0.0,33.66666666666606,0.31395710289088646,-9.844333333333331,-26.313773009961327,60.0,-60.0,-8005.0,0.6477666666666639,True,10757.0,10723.333333333334,27.567,37.41133333333333,2219.0,2159.0,2011.0,2071.0,16455.0,24460.0,-15.76470000000001,-16.412466666666674,history,True,572,571,1671,6.8033666296707365,5.8033666296707365,14685,True,1,True,1.0,20260616-160414_candidate_history_adaptive_phase2_trial2_DMAtc_a68ef2dc,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260616-160414_candidate_history_adaptive_phase2_trial2_DMAtc_a68ef2dc
history_adaptive_phase2,DMAtc.bench,3,True,False,False,94.562,94.562,0.0,30.66666666666606,0.2859807273857574,-10.328333333333333,-27.60749861895682,60.0,-60.0,-8005.0,0.726166666666666,True,10754.0,10723.333333333334,27.083,37.41133333333333,2219.0,2159.0,2011.0,2071.0,16455.0,24460.0,-15.686300000000008,-16.412466666666674,history,True,572,571,1671,6.8033666296707365,5.8033666296707365,14685,True,1,True,1.0,20260616-160431_candidate_history_adaptive_phase2_trial3_DMAtc_6e0b7e9c,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260616-160431_candidate_history_adaptive_phase2_trial3_DMAtc_6e0b7e9c
history_adaptive_phase2_c1,pcitc.bench,1,True,False,False,99.826,99.82599999999998,1.4210854715202004e-14,26.0,0.43748948342587923,-2.8329999999999984,-20.85695354487226,3.0,-3.0,-90.0,0.023299999999998988,True,5969.0,5943.0,10.75,13.582999999999998,4.0,1.0,128.0,131.0,44.0,134.0,39.06099999999999,39.037699999999994,history,True,1,0,4,12.599700149925038,11.599700149925038,17505,True,1,False,1.0,20260616-160447_candidate_history_adaptive_phase2_c1_trial1_pcitc_b9d63310,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260616-160447_candidate_history_adaptive_phase2_c1_trial1_pcitc_b9d63310
