candidate,benchmark,trials,successful_runs,success_rate,timeout_rate,coverage_mean,coverage_std,baseline_coverage_mean,coverage_delta_mean,coverage_below_baseline,patterns_mean,patterns_std,baseline_patterns_mean,pattern_delta_mean,pattern_delta_pct_mean,runtime_mean,runtime_std,baseline_runtime_mean,runtime_delta_mean,runtime_delta_pct_mean,aborted_delta_mean,redundant_delta_mean,backtracking_delta_mean,score_mean,score_std,baseline_score_mean,score_delta_mean,faults_dropped_per_generated_pattern_mean,extra_drops_per_generated_pattern_mean,max_pattern_extra_drops_mean,adaptive_phase2_enabled_rate,adaptive_phase2_profile_faults_mean,adaptive_phase2_attempted_faults_mean,adaptive_phase2_skipped_faults_mean,adaptive_enabled_rate,adaptive_shuffle_limit_mean,adaptive_stopped_early_rate,adaptive_min_benefit_mean,wins_benchmark,runtime_win,stable_win
global_phase2_b10_reference,DMAtc.bench,3,3,1.0,0.0,94.562,0.0,94.562,0.0,False,10817.333333333334,11.372481406154654,10723.333333333334,94.0,0.8765930991607086,40.705333333333336,0.40186606392345725,37.41133333333333,3.294000000000004,8.8048185041966,0.0,0.0,23749.0,-17.681866666666668,0.13340525976637088,-16.412466666666674,-1.2693999999999939,5.857927849008521,4.857927849008521,14685.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,False,False,False
global_phase2_b10_reference,destc.bench,3,3,1.0,0.0,100.0,0.0,100.0,0.0,False,391.6666666666667,1.1547005383792515,347.3333333333333,44.33333333333337,12.763915547024965,13.455333333333334,0.1547460284896943,22.91633333333333,-9.460999999999997,-41.28496414493301,0.0,0.0,0.0,94.7378,0.015103972987268649,94.23503333333333,0.502766666666659,618.8993710691824,617.8993710691824,74190.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,True,True,True
global_phase2_b10_reference,pcitc.bench,3,3,1.0,0.0,99.82599999999998,0.0,99.82599999999998,0.0,False,5970.333333333333,6.658328118479393,5943.0,27.33333333333303,0.4599248415502782,11.933333333333332,0.20511541466533761,13.582999999999998,-1.6496666666666666,-12.145083314927975,0.0,0.0,11.0,38.929333333333325,0.05446763565029339,39.037699999999994,-0.10836666666666872,10.699674635733482,9.699674635733484,17505.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,False,True,False
global_phase2_b20_reference,DMAtc.bench,3,3,1.0,0.0,94.562,0.0,94.562,0.0,False,10812.333333333334,7.505553499465135,10723.333333333334,89.0,0.8299658066521604,45.1,0.4496543116661959,37.41133333333333,7.68866666666667,20.551704474579903,-908.0,908.0,40885.0,-18.07133333333334,0.0305650672064321,-16.412466666666674,-1.6588666666666647,5.857927849008521,4.857927849008521,14685.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,False,False,False
global_phase2_b20_reference,destc.bench,3,3,1.0,0.0,100.0,0.0,100.0,0.0,False,394.0,3.605551275463989,347.3333333333333,46.666666666666686,13.435700575815746,13.933333333333332,0.32145502536643233,22.91633333333333,-8.982999999999999,-39.19911562349998,0.0,0.0,0.0,94.66666666666667,0.005773502691895109,94.23503333333333,0.43163333333333753,618.8993710691824,617.8993710691824,74190.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,True,True,True
global_phase2_b20_reference,pcitc.bench,3,3,1.0,0.0,99.82599999999998,0.0,99.82599999999998,0.0,False,5972.0,4.58257569495584,5943.0,29.0,0.4879690392057883,12.044666666666666,0.09458505872141405,13.582999999999998,-1.5383333333333322,-11.325431298927574,0.0,0.0,21.0,38.901533333333326,0.055267199434508224,39.037699999999994,-0.13616666666666788,10.699674635733482,9.699674635733484,17505.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,False,True,False
history_adaptive_phase2,DMAtc.bench,3,3,1.0,0.0,94.562,0.0,94.562,0.0,False,10757.0,3.0,10723.333333333334,33.66666666666606,0.31395710289088646,27.361,0.24990398156091964,37.41133333333333,-10.050333333333331,-26.864408289823043,60.0,-60.0,-8005.0,-15.74410000000001,0.050739728024499026,-16.412466666666674,0.6683666666666639,6.8033666296707365,5.8033666296707365,14685.0,1.0,572.0,571.0,1671.0,1.0,1.0,1.0,1.0,True,True,True
history_adaptive_phase2,destc.bench,3,3,1.0,0.0,100.0,0.0,100.0,0.0,False,362.3333333333333,1.5275252316519468,347.3333333333333,15.0,4.318618042226488,11.861333333333334,0.3415352592827471,22.91633333333333,-11.054999999999996,-48.240701682933555,0.0,0.0,0.0,95.19053333333333,0.03274848597008676,94.23503333333333,0.9555000000000007,768.7890625,767.7890625,74190.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,True,True,True
history_adaptive_phase2,pcitc.bench,3,3,1.0,0.0,99.82599999999998,0.0,99.82599999999998,0.0,False,5971.0,1.0,5943.0,28.0,0.47114252061248524,10.472333333333333,0.19734825394042158,13.582999999999998,-3.110666666666665,-22.90117548896905,3.0,-3.0,-90.0,39.068766666666654,0.021736221689457522,39.037699999999994,0.03106666666666058,12.599700149925036,11.599700149925036,17505.0,1.0,1.0,0.0,4.0,1.0,1.0,1.0,1.0,True,True,True
history_adaptive_phase2_c1,DMAtc.bench,3,3,1.0,0.0,94.562,0.0,94.562,0.0,False,10752.0,1.7320508075688772,10723.333333333334,28.66666666666606,0.26732981038233816,29.049666666666667,0.9385272150200715,37.41133333333333,-8.361666666666665,-22.35062458791453,60.0,-60.0,-8005.0,-15.862966666666674,0.07783529619223714,-16.412466666666674,0.5495000000000001,6.8033666296707365,5.8033666296707365,14685.0,1.0,572.0,571.0,1671.0,1.0,1.0,0.0,1.0,True,True,True
