candidate,benchmark,success,coverage_below_baseline,candidate_fault_coverage,baseline_fault_coverage,coverage_delta,pattern_delta,pattern_delta_pct,runtime_delta,runtime_delta_pct,score_delta,wins_benchmark,candidate_patterns,baseline_patterns,candidate_runtime,baseline_runtime,candidate_score,baseline_score,run_id,run_dir
default,pcitc.bench,True,False,99.826,99.826,0.0,-1.0,-0.016823687752355317,-4.299999999999999,-25.268848798260557,0.4399999999999977,True,5943.0,5944.0,12.717,17.017,39.12429999999999,38.68429999999999,20260613-174030_candidate_default_pcitc_2f964e3a,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/LLM-Atalanta/results/runs/20260613-174030_candidate_default_pcitc_2f964e3a
default,destc.bench,True,False,100.0,100.0,0.0,1.0,0.2824858757062147,-12.733,-38.468277945619334,1.2633000000000152,True,355.0,354.0,20.367,33.1,94.4133,93.14999999999999,20260613-174038_candidate_default_destc_3798b3f8,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/LLM-Atalanta/results/runs/20260613-174038_candidate_default_destc_3798b3f8
default,DMAtc.bench,True,False,94.562,94.562,0.0,0.0,0.0,-9.800000000000004,-21.85061315496099,0.9800000000000004,True,10723.0,10723.0,35.05,44.85,-16.173000000000005,-17.153000000000006,20260613-174050_candidate_default_DMAtc_65f39ca6,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/LLM-Atalanta/results/runs/20260613-174050_candidate_default_DMAtc_65f39ca6
no_compaction,pcitc.bench,True,False,99.826,99.826,0.0,1125.0,18.92664872139973,-5.866999999999999,-34.47728741846389,-10.663299999999996,False,7069.0,5944.0,11.15,17.017,28.020999999999997,38.68429999999999,20260613-174112_candidate_no_compaction_pcitc_c5482e24,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/LLM-Atalanta/results/runs/20260613-174112_candidate_no_compaction_pcitc_c5482e24
no_compaction,destc.bench,True,False,100.0,100.0,0.0,123.0,34.74576271186441,-22.467000000000002,-67.8761329305136,1.0167000000000144,True,477.0,354.0,10.633,33.1,94.1667,93.14999999999999,20260613-174118_candidate_no_compaction_destc_19c21b7b,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/LLM-Atalanta/results/runs/20260613-174118_candidate_no_compaction_destc_19c21b7b
no_compaction,DMAtc.bench,True,False,94.562,94.562,0.0,1834.0,17.103422549659612,-14.75,-32.88740245261984,-16.865000000000002,False,12557.0,10723.0,30.1,44.85,-34.01800000000001,-17.153000000000006,20260613-174125_candidate_no_compaction_DMAtc_684730cd,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/LLM-Atalanta/results/runs/20260613-174125_candidate_no_compaction_DMAtc_684730cd
reverse_only_compaction,pcitc.bench,True,False,99.826,99.826,0.0,78.0,1.3122476446837146,-5.799999999999999,-34.08356349532819,-0.19999999999999574,False,6022.0,5944.0,11.217,17.017,38.4843,38.68429999999999,20260613-174143_candidate_reverse_only_compaction_pcitc_427c8437,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/LLM-Atalanta/results/runs/20260613-174143_candidate_reverse_only_compaction_pcitc_427c8437
reverse_only_compaction,destc.bench,True,False,100.0,100.0,0.0,66.0,18.64406779661017,-21.950000000000003,-66.3141993957704,1.5350000000000108,True,420.0,354.0,11.15,33.1,94.685,93.14999999999999,20260613-174150_candidate_reverse_only_compaction_destc_f88f5bc0,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/LLM-Atalanta/results/runs/20260613-174150_candidate_reverse_only_compaction_destc_f88f5bc0
reverse_only_compaction,DMAtc.bench,True,False,94.562,94.562,0.0,234.0,2.182225123566166,-14.367,-32.03344481605351,-0.9033000000000051,False,10957.0,10723.0,30.483,44.85,-18.05630000000001,-17.153000000000006,20260613-174156_candidate_reverse_only_compaction_DMAtc_a05e7c41,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/LLM-Atalanta/results/runs/20260613-174156_candidate_reverse_only_compaction_DMAtc_a05e7c41
phase2_b10,pcitc.bench,True,False,99.826,99.826,0.0,0.0,0.0,-3.234,-19.00452488687783,0.32339999999999947,True,5944.0,5944.0,13.783,17.017,39.00769999999999,38.68429999999999,20260613-174215_candidate_phase2_b10_pcitc_b24fe105,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/LLM-Atalanta/results/runs/20260613-174215_candidate_phase2_b10_pcitc_b24fe105
phase2_b10,destc.bench,True,False,100.0,100.0,0.0,-9.0,-2.5423728813559325,-7.967000000000002,-24.069486404833842,0.8867000000000047,True,345.0,354.0,25.133,33.1,94.0367,93.14999999999999,20260613-174223_candidate_phase2_b10_destc_d9fb7a25,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/LLM-Atalanta/results/runs/20260613-174223_candidate_phase2_b10_destc_d9fb7a25
phase2_b10,DMAtc.bench,True,False,94.562,94.562,0.0,1.0,0.009325748391308402,-1.7000000000000028,-3.790412486064666,0.15999999999999304,True,10724.0,10723.0,43.15,44.85,-16.993000000000013,-17.153000000000006,20260613-174238_candidate_phase2_b10_DMAtc_78ee4696,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/LLM-Atalanta/results/runs/20260613-174238_candidate_phase2_b10_DMAtc_78ee4696
phase2_b20,pcitc.bench,True,False,99.826,99.826,0.0,1.0,0.016823687752355317,-3.6340000000000003,-21.355115472762535,0.3534000000000006,True,5945.0,5944.0,13.383,17.017,39.037699999999994,38.68429999999999,20260613-174304_candidate_phase2_b20_pcitc_baa46dd2,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/LLM-Atalanta/results/runs/20260613-174304_candidate_phase2_b20_pcitc_baa46dd2
phase2_b20,destc.bench,True,False,100.0,100.0,0.0,-7.0,-1.977401129943503,-13.217000000000002,-39.93051359516617,1.3917000000000144,True,347.0,354.0,19.883,33.1,94.5417,93.14999999999999,20260613-174312_candidate_phase2_b20_destc_d6227740,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/LLM-Atalanta/results/runs/20260613-174312_candidate_phase2_b20_destc_d6227740
phase2_b20,DMAtc.bench,True,False,94.562,94.562,0.0,-1.0,-0.009325748391308402,2.25,5.016722408026756,-0.2149999999999963,False,10722.0,10723.0,47.1,44.85,-17.368000000000002,-17.153000000000006,20260613-174324_candidate_phase2_b20_DMAtc_9600cd58,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/LLM-Atalanta/results/runs/20260613-174324_candidate_phase2_b20_DMAtc_9600cd58
static_learning,pcitc.bench,True,False,99.826,99.826,0.0,0.0,0.0,-3.167,-18.61080096374214,0.3167000000000044,True,5944.0,5944.0,13.85,17.017,39.001,38.68429999999999,20260613-174353_candidate_static_learning_pcitc_904b118e,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/LLM-Atalanta/results/runs/20260613-174353_candidate_static_learning_pcitc_904b118e
static_learning,destc.bench,True,False,100.0,100.0,0.0,-9.0,-2.5423728813559325,-6.967000000000002,-21.048338368580065,0.7867000000000104,True,345.0,354.0,26.133,33.1,93.9367,93.14999999999999,20260613-174401_candidate_static_learning_destc_33fc49ee,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/LLM-Atalanta/results/runs/20260613-174401_candidate_static_learning_destc_33fc49ee
static_learning,DMAtc.bench,True,False,94.562,94.562,0.0,-2.0,-0.018651496782616805,-5.649999999999999,-12.59754738015607,0.5849999999999937,True,10721.0,10723.0,39.2,44.85,-16.568000000000012,-17.153000000000006,20260613-174417_candidate_static_learning_DMAtc_2190180c,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/LLM-Atalanta/results/runs/20260613-174417_candidate_static_learning_DMAtc_2190180c
phase2_b10_learning,pcitc.bench,True,False,99.826,99.826,0.0,-1.0,-0.016823687752355317,-2.567,-15.084915084915087,0.26670000000000016,True,5943.0,5944.0,14.45,17.017,38.95099999999999,38.68429999999999,20260613-174440_candidate_phase2_b10_learning_pcitc_5cec51a0,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/LLM-Atalanta/results/runs/20260613-174440_candidate_phase2_b10_learning_pcitc_5cec51a0
phase2_b10_learning,destc.bench,True,False,100.0,100.0,0.0,-4.0,-1.1299435028248588,-9.3,-28.09667673716012,0.9700000000000131,True,350.0,354.0,23.8,33.1,94.12,93.14999999999999,20260613-174449_candidate_phase2_b10_learning_destc_68a9a786,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/LLM-Atalanta/results/runs/20260613-174449_candidate_phase2_b10_learning_destc_68a9a786
phase2_b10_learning,DMAtc.bench,True,False,94.562,94.562,0.0,1.0,0.009325748391308402,-0.30000000000000426,-0.6688963210702435,0.01999999999999602,True,10724.0,10723.0,44.55,44.85,-17.13300000000001,-17.153000000000006,20260613-174504_candidate_phase2_b10_learning_DMAtc_2deccde0,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/LLM-Atalanta/results/runs/20260613-174504_candidate_phase2_b10_learning_DMAtc_2deccde0
hope_sim,pcitc.bench,False,False,,99.826,,,,,,-1038.6843,False,,5944.0,,17.017,-1000.0,38.68429999999999,20260613-174530_candidate_hope_sim_pcitc_6c85e9e9,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/LLM-Atalanta/results/runs/20260613-174530_candidate_hope_sim_pcitc_6c85e9e9
hope_sim,destc.bench,True,False,100.0,100.0,0.0,4.0,1.1299435028248588,17.982999999999997,54.32930513595166,-1.8382999999999896,False,358.0,354.0,51.083,33.1,91.3117,93.14999999999999,20260613-174536_candidate_hope_sim_destc_de440b9a,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/LLM-Atalanta/results/runs/20260613-174536_candidate_hope_sim_destc_de440b9a
hope_sim,DMAtc.bench,False,False,,94.562,,,,,,-982.847,False,,10723.0,,44.85,-1000.0,-17.153000000000006,20260613-174606_candidate_hope_sim_DMAtc_cbfed6c1,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/LLM-Atalanta/results/runs/20260613-174606_candidate_hope_sim_DMAtc_cbfed6c1
