candidate,benchmark,trials,successful_runs,success_rate,timeout_rate,coverage_mean,coverage_std,baseline_coverage_mean,coverage_delta_mean,coverage_below_baseline,patterns_mean,patterns_std,baseline_patterns_mean,pattern_delta_mean,pattern_delta_pct_mean,runtime_mean,runtime_std,baseline_runtime_mean,runtime_delta_mean,runtime_delta_pct_mean,score_mean,score_std,baseline_score_mean,score_delta_mean,wins_benchmark,runtime_win,stable_win
c1_learning,DMAtc.bench,3,3,1.0,0.0,94.562,0.0,94.562,0.0,False,10723.333333333334,1.5275252316519468,10723.333333333334,0.0,0.0,38.13333333333333,1.3565848050650324,37.41133333333333,0.7220000000000013,1.92989646631146,-16.48466666666667,0.12139696591485925,-16.412466666666674,-0.07219999999999516,False,False,False
c1_learning,destc.bench,3,3,1.0,0.0,100.0,0.0,100.0,0.0,False,356.3333333333333,9.60902353693305,347.3333333333333,9.0,2.5911708253358925,23.572333333333333,2.803006659523543,22.91633333333333,0.6560000000000024,2.8625870921758967,94.07943333333333,0.19056091764402538,94.23503333333333,-0.15560000000000684,False,False,False
c1_learning,pcitc.bench,3,3,1.0,0.0,99.82599999999998,0.0,99.82599999999998,0.0,False,5945.333333333333,2.0816659994661326,5943.0,2.33333333333303,0.039261876717702,14.216666666666667,0.1165003576532424,13.582999999999998,0.6336666666666684,4.665145156936379,38.95099999999999,0.014845538050200533,39.037699999999994,-0.08670000000000044,False,False,False
c1_no_learning,DMAtc.bench,3,3,1.0,0.0,94.562,0.0,94.562,0.0,False,10725.666666666666,2.0816659994661326,10723.333333333334,2.3333333333321207,0.021759403170644582,35.227666666666664,0.14351422693703048,37.41133333333333,-2.1836666666666673,-5.836912165653904,-16.217433333333343,0.016851211628045905,-16.412466666666674,0.19503333333333117,True,True,True
c1_no_learning,destc.bench,3,3,1.0,0.0,100.0,0.0,100.0,0.0,False,349.6666666666667,2.516611478423583,347.3333333333333,2.3333333333333712,0.6717850287907978,18.849999999999998,0.957862203033401,22.91633333333333,-4.066333333333333,-17.74425809829961,94.61833333333334,0.07216878364870732,94.23503333333333,0.3833000000000055,True,True,True
c1_no_learning,pcitc.bench,3,3,1.0,0.0,99.82599999999998,0.0,99.82599999999998,0.0,False,5945.333333333333,1.5275252316519468,5943.0,2.33333333333303,0.039261876717702,12.922333333333333,0.36700999078135943,13.582999999999998,-0.6606666666666658,-4.863923041056217,39.080433333333325,0.022180246466917495,39.037699999999994,0.04273333333333085,True,True,True
c1_phase2_b10,DMAtc.bench,3,3,1.0,0.0,94.562,0.0,94.562,0.0,False,10722.666666666666,1.1547005383792515,10723.333333333334,-0.6666666666678793,-0.00621697233448442,43.489,0.5548441222541713,37.41133333333333,6.077666666666666,16.245522747117626,-17.013566666666673,0.044360492933835434,-16.412466666666674,-0.6010999999999989,False,False,False
c1_phase2_b10,destc.bench,3,3,1.0,0.0,100.0,0.0,100.0,0.0,False,353.6666666666667,6.027713773341708,347.3333333333333,6.333333333333371,1.8234165067178614,18.477666666666668,2.22269776023042,22.91633333333333,-4.438666666666663,-19.369009003767314,94.61556666666668,0.1638165233831251,94.23503333333333,0.3805333333333465,True,True,True
c1_phase2_b10,pcitc.bench,3,3,1.0,0.0,99.82599999999998,0.0,99.82599999999998,0.0,False,5944.666666666667,2.0816659994661326,5943.0,1.6666666666669698,0.02804419765551018,13.016333333333334,0.40722639076235395,13.582999999999998,-0.5666666666666647,-4.171881518564859,39.07769999999999,0.03278719262151215,39.037699999999994,0.03999999999999915,True,True,True
c1_phase2_b10_learning,DMAtc.bench,3,3,1.0,0.0,94.562,0.0,94.562,0.0,False,10721.666666666666,1.1547005383792515,10723.333333333334,-1.6666666666678793,-0.015542430836194086,45.83866666666666,0.4787445386981831,37.41133333333333,8.42733333333333,22.52615072081543,-17.23853333333334,0.04140004025763032,-16.412466666666674,-0.8260666666666658,False,False,False
c1_phase2_b10_learning,destc.bench,3,3,1.0,0.0,100.0,0.0,100.0,0.0,False,356.0,8.717797887081348,347.3333333333333,8.666666666666686,2.4952015355086425,24.555333333333333,2.5278343168280095,22.91633333333333,1.639000000000003,7.152104030604095,93.98446666666666,0.16561842691359183,94.23503333333333,-0.25056666666667127,False,False,False
c1_phase2_b10_learning,pcitc.bench,3,3,1.0,0.0,99.82599999999998,0.0,99.82599999999998,0.0,False,5943.0,0.0,5943.0,0.0,0.0,14.844333333333333,0.36604007066622296,13.582999999999998,1.2613333333333347,9.286117450734999,38.911566666666666,0.03660400706662311,39.037699999999994,-0.12613333333332832,False,False,False
c1_phase2_b5,DMAtc.bench,3,3,1.0,0.0,94.562,0.0,94.562,0.0,False,10725.666666666666,3.0550504633038935,10723.333333333334,2.3333333333321207,0.021759403170644582,40.227666666666664,0.9580111342428804,37.41133333333333,2.8163333333333327,7.52802181157225,-16.717433333333336,0.090674435941636,-16.412466666666674,-0.3049666666666617,False,False,False
c1_phase2_b5,destc.bench,3,3,1.0,0.0,100.0,0.0,100.0,0.0,False,352.0,8.18535277187245,347.3333333333333,4.666666666666686,1.3435700575815794,19.761333333333333,3.128569374863427,22.91633333333333,-3.1549999999999976,-13.767472981425174,94.50386666666667,0.23211303998985441,94.23503333333333,0.26883333333333326,True,True,True
c1_phase2_b5,pcitc.bench,3,3,1.0,0.0,99.82599999999998,0.0,99.82599999999998,0.0,False,5944.333333333333,1.1547005383792515,5943.0,1.3333333333330302,0.02243535812439896,13.0,0.4924428900898058,13.582999999999998,-0.5829999999999984,-4.292129868217613,39.082666666666654,0.04193248541803139,39.037699999999994,0.04496666666666016,True,True,True
c1_phase2_b5_learning,DMAtc.bench,3,3,1.0,0.0,94.562,0.0,94.562,0.0,False,10723.666666666666,0.5773502691896257,10723.333333333334,0.3333333333321207,0.003108486167225247,43.76133333333333,0.8277960698948335,37.41133333333333,6.350000000000001,16.97346615107722,-17.05080000000001,0.07700733731274811,-16.412466666666674,-0.6383333333333354,False,False,False
