candidate,benchmarks,successful_runs,success_rate_mean,timeout_rate_mean,coverage_below_baseline_count,wins,runtime_win_count,stable_win_count,average_score_delta_mean,runtime_delta_mean,runtime_delta_std,pattern_delta_mean,pattern_delta_std
c1_no_learning,3,9,1.0,0.0,0,3,3,3,0.20702222222222252,-2.303555555555555,1.7059957122954237,2.3333333333328405,6.464507240567999e-13
c1_phase2_b5,3,9,1.0,0.0,0,2,2,2,0.002944444444443898,-0.3072222222222211,2.9952037462385546,2.777777777777279,1.7105338131492573
c1_phase2_b10,3,9,1.0,0.0,0,2,2,2,-0.060188888888884406,0.35744444444444606,5.318721905091831,2.4444444444441538,3.5642255405217256
c2_no_learning,3,9,1.0,0.0,0,1,1,1,-0.008355555555554636,0.1280000000000019,0.595335479652718,-0.4444444444443434,0.9622504486495513
c1_learning,3,9,1.0,0.0,0,0,0,0,-0.10483333333333415,0.6705555555555573,0.04593030146420293,3.777777777777677,4.670633234885314
c2_phase2_b5_learning,3,9,1.0,0.0,0,0,0,0,-0.32314444444444845,3.27588888888889,2.5505124612153556,-0.4444444444443434,1.8954135676926112
c2_learning,3,9,1.0,0.0,0,0,0,0,-0.35465555555554573,3.4576666666666678,2.377120690620858,0.8888888888883836,1.8954135676929844
c1_phase2_b5_learning,3,9,1.0,0.0,0,0,0,0,-0.3661444444444418,3.3281111111111126,2.890749736147534,3.33333333333303,2.6034165586363276
c1_phase2_b10_learning,3,9,1.0,0.0,0,0,0,0,-0.4009222222222218,3.7758888888888893,4.032692598325908,2.3333333333329356,5.547772325698194
c2_phase2_b10_learning,3,9,1.0,0.0,0,0,0,0,-0.4370555555555609,4.3594444444444465,3.6858738950716092,0.11111111111101006,1.018350154434598
