candidate,benchmark,trials,successful_runs,success_rate,timeout_rate,coverage_mean,coverage_std,baseline_coverage_mean,coverage_delta_mean,coverage_below_baseline,patterns_mean,patterns_std,baseline_patterns_mean,pattern_delta_mean,pattern_delta_pct_mean,runtime_mean,runtime_std,baseline_runtime_mean,runtime_delta_mean,runtime_delta_pct_mean,score_mean,score_std,baseline_score_mean,score_delta_mean,faults_dropped_per_generated_pattern_mean,extra_drops_per_generated_pattern_mean,max_pattern_extra_drops_mean,adaptive_enabled_rate,adaptive_shuffle_limit_mean,adaptive_stopped_early_rate,adaptive_min_benefit_mean,wins_benchmark,runtime_win,stable_win
adaptive_c1_easy_first,DMAtc.bench,3,3,1.0,0.0,94.567,0.0,94.562,0.0049999999999954525,False,10800.666666666666,2.0816659994661326,10723.666666666666,77.0,0.7180379845202202,36.733666666666664,1.625064101299802,35.94433333333333,0.7893333333333317,2.195988241076475,-17.113033333333345,0.1483520587431563,-16.269100000000005,-0.8439333333333394,5.796847911741529,4.796847911741529,14685.0,1.0,1.0,0.0,1.0,False,False,False
adaptive_c1_easy_first,destc.bench,3,3,1.0,0.0,100.0,0.0,100.0,0.0,False,348.0,7.54983443527075,351.6666666666667,-3.6666666666666856,-1.0426540284360244,18.433333333333334,1.6992269811103324,17.833333333333332,0.6000000000000014,3.3644859813084196,94.67666666666668,0.09445487458747176,94.7,-0.023333333333326323,603.7116564417178,602.7116564417178,74190.0,1.0,1.0,0.0,1.0,False,False,False
adaptive_c1_easy_first,pcitc.bench,3,3,1.0,0.0,99.82599999999998,0.0,99.82599999999998,0.0,False,5894.666666666667,1.1547005383792515,5944.666666666667,-50.0,-0.84109005270831,14.472,0.25896524863386605,12.805666666666667,1.6663333333333323,13.01246843845172,39.432133333333326,0.01503207681370872,39.09876666666666,0.33336666666666304,9.317073170731707,8.317073170731707,17505.0,1.0,1.0,0.0,1.0,True,False,True
adaptive_c1_ordering_default,DMAtc.bench,3,3,1.0,0.0,94.562,0.0,94.562,0.0,False,10723.0,1.0,10723.666666666666,-0.6666666666660603,-0.006216779086749499,36.828,1.0152896138540959,35.94433333333333,0.8836666666666702,2.458431092522707,-16.350800000000007,0.09287157799886496,-16.269100000000005,-0.08170000000000144,5.857927849008521,4.857927849008521,14685.0,1.0,1.0,0.0,1.0,False,False,False
adaptive_c1_ordering_default,destc.bench,3,3,1.0,0.0,100.0,0.0,100.0,0.0,False,357.6666666666667,6.658328118479393,351.6666666666667,6.0,1.7061611374407581,17.671999999999997,2.1291225892371712,17.833333333333332,-0.1613333333333351,-0.9046728971962718,94.65613333333333,0.14704408635961305,94.7,-0.04386666666667338,618.8993710691824,617.8993710691824,74190.0,1.0,1.0,0.0,1.0,False,True,False
adaptive_c1_ordering_default,pcitc.bench,3,3,1.0,0.0,99.82599999999998,0.0,99.82599999999998,0.0,False,5944.333333333333,0.5773502691896257,5944.666666666667,-0.33333333333393966,-0.005607267018065599,13.094666666666669,0.17957264082630586,12.805666666666667,0.2890000000000015,2.256813389905522,39.07319999999999,0.01667722998582042,39.09876666666666,-0.025566666666669846,10.699674635733482,9.699674635733484,17505.0,1.0,1.0,0.0,1.0,False,False,False
adaptive_c1_stem_first,DMAtc.bench,3,3,1.0,0.0,94.569,0.0,94.562,0.007000000000005002,False,10713.0,1.0,10723.666666666666,-10.66666666666606,-0.09946846538807678,36.139,0.6427386716232337,35.94433333333333,0.1946666666666701,0.5415781810763034,-16.174899999999997,0.054901092885300956,-16.269100000000005,0.09420000000000783,5.989009199706911,4.989009199706912,15060.0,1.0,1.0,0.0,1.0,True,False,True
adaptive_c1_stem_first,destc.bench,3,3,1.0,0.0,100.0,0.0,100.0,0.0,False,359.3333333333333,9.073771725877465,351.6666666666667,7.666666666666629,2.180094786729847,18.333333333333332,1.9669703437859285,17.833333333333332,0.5,2.8037383177570097,94.57333333333332,0.10710146279736306,94.7,-0.12666666666667936,608.6907216494845,607.6907216494845,73418.0,1.0,1.0,0.0,1.0,False,False,False
adaptive_c1_stem_first,pcitc.bench,3,3,1.0,0.0,99.82599999999998,0.0,99.82599999999998,0.0,False,5910.0,1.0,5944.666666666667,-34.66666666666697,-0.5831557698777666,12.444333333333333,0.18597132395434843,12.805666666666667,-0.3613333333333344,-2.8216674909545336,39.48156666666666,0.02821087260850196,39.09876666666666,0.38279999999999603,10.875053918044573,9.875053918044573,17583.0,1.0,1.0,0.0,1.0,True,True,True
easy_first,DMAtc.bench,3,3,1.0,0.0,94.567,0.0,94.562,0.0049999999999954525,False,10851.333333333334,0.5773502691896257,10723.666666666666,127.66666666666788,1.190513195113623,32.36666666666667,0.3163421143846219,35.94433333333333,-3.5776666666666657,-9.953353797075104,-17.18300000000001,0.02616084861009322,-16.269100000000005,-0.9139000000000053,5.796847911741529,4.796847911741529,14685.0,1.0,1.0,1.0,1.0,False,True,False
easy_first,destc.bench,3,3,1.0,0.0,100.0,0.0,100.0,0.0,False,381.0,2.0,351.6666666666667,29.333333333333314,8.341232227488145,11.644333333333334,0.18597132395434876,17.833333333333332,-6.188999999999998,-34.704672897196254,95.02556666666665,0.02962858979656255,94.7,0.3255666666666457,603.7116564417178,602.7116564417178,74190.0,1.0,1.0,1.0,1.0,True,True,True
easy_first,pcitc.bench,3,3,1.0,0.0,99.82599999999998,0.0,99.82599999999998,0.0,False,5927.0,4.0,5944.666666666667,-17.66666666666697,-0.2971851519569413,12.672333333333334,0.1080987203131159,12.805666666666667,-0.13333333333333286,-1.0412057162193784,39.28876666666665,0.0508020996941388,39.09876666666666,0.18999999999999062,9.317073170731707,8.317073170731707,17505.0,1.0,1.0,1.0,1.0,True,True,True
ordering_default,DMAtc.bench,3,3,1.0,0.0,94.562,0.0,94.562,0.0,False,10812.0,10.816653826391969,10723.666666666666,88.33333333333394,0.8237232289950633,31.516666666666666,0.22399181532666151,35.94433333333333,-4.427666666666667,-12.318121539788377,-16.709666666666674,0.08918364947306137,-16.269100000000005,-0.440566666666669,5.857927849008521,4.857927849008521,14685.0,1.0,1.0,1.0,1.0,False,True,False
ordering_default,destc.bench,3,3,1.0,0.0,100.0,0.0,100.0,0.0,False,391.6666666666667,3.5118845842842465,351.6666666666667,40.0,11.374407582938389,12.716666666666667,0.12009301950293866,17.833333333333332,-5.116666666666665,-28.691588785046722,94.81166666666667,0.02726212268576045,94.7,0.11166666666666458,618.8993710691824,617.8993710691824,74190.0,1.0,1.0,1.0,1.0,True,True,True
ordering_default,pcitc.bench,3,3,1.0,0.0,99.82599999999998,0.0,99.82599999999998,0.0,False,5972.333333333333,6.658328118479393,5944.666666666667,27.66666666666606,0.46540316249858793,11.777666666666667,0.13851113072000135,12.805666666666667,-1.0280000000000005,-8.02769607205144,38.924899999999994,0.07515663643352087,39.09876666666666,-0.17386666666666883,10.699674635733482,9.699674635733484,17505.0,1.0,1.0,1.0,1.0,False,True,False
stem_first,DMAtc.bench,3,3,1.0,0.0,94.569,0.0,94.562,0.007000000000005002,False,10762.333333333334,3.0550504633038935,10723.666666666666,38.66666666666788,0.3605731870318101,31.833333333333332,0.15912992595151093,35.94433333333333,-4.111000000000001,-11.437129635640296,-16.237666666666666,0.03981486322133324,-16.269100000000005,0.03143333333333942,5.989009199706911,4.989009199706912,15060.0,1.0,1.0,1.0,1.0,True,True,False
stem_first,destc.bench,3,3,1.0,0.0,100.0,0.0,100.0,0.0,False,393.0,2.6457513110645907,351.6666666666667,41.333333333333314,11.753554502369662,12.017000000000001,0.10000000000000053,17.833333333333332,-5.816333333333331,-32.61495327102802,94.86829999999999,0.02999999999999403,94.7,0.1682999999999879,608.6907216494845,607.6907216494845,73418.0,1.0,1.0,1.0,1.0,True,True,True
stem_first,pcitc.bench,3,3,1.0,0.0,99.82599999999998,0.0,99.82599999999998,0.0,False,5920.0,3.0,5944.666666666667,-24.66666666666697,-0.4149377593361047,11.35,0.1163572086292892,12.805666666666667,-1.4556666666666676,-11.36736340682511,39.49099999999999,0.019682225483925196,39.09876666666666,0.3922333333333299,10.875053918044573,9.875053918044573,17583.0,1.0,1.0,1.0,1.0,True,True,True
