candidate,benchmark,trials,successful_runs,success_rate,timeout_rate,coverage_mean,coverage_std,baseline_coverage_mean,coverage_delta_mean,coverage_below_baseline,patterns_mean,patterns_std,baseline_patterns_mean,pattern_delta_mean,pattern_delta_pct_mean,runtime_mean,runtime_std,baseline_runtime_mean,runtime_delta_mean,runtime_delta_pct_mean,aborted_delta_mean,redundant_delta_mean,backtracking_delta_mean,score_mean,score_std,baseline_score_mean,score_delta_mean,faults_dropped_per_generated_pattern_mean,extra_drops_per_generated_pattern_mean,max_pattern_extra_drops_mean,adaptive_enabled_rate,adaptive_shuffle_limit_mean,adaptive_stopped_early_rate,adaptive_min_benefit_mean,wins_benchmark,runtime_win,stable_win
adaptive_c1_stem_reference,DMAtc.bench,3,3,1.0,0.0,94.569,0.0,94.562,0.007000000000005002,False,10714.333333333334,2.0816659994661326,10723.666666666666,-9.33333333333212,-0.08703490721456082,36.183,0.8674675786448756,35.94433333333333,0.23866666666666703,0.663989687757923,-5.0,0.0,201.0,-16.192633333333333,0.07005949852327771,-16.269100000000005,0.07646666666667201,5.989009199706911,4.989009199706912,15060.0,1.0,1.0,0.0,1.0,True,False,True
adaptive_c1_stem_reference,destc.bench,3,3,1.0,0.0,100.0,0.0,100.0,0.0,False,358.0,4.358898943540674,351.6666666666667,6.333333333333314,1.8009478672985728,18.561,1.523913711467943,17.833333333333332,0.7276666666666678,4.080373831775708,0.0,0.0,-1.0,94.56389999999999,0.12769937353018887,94.7,-0.1361000000000132,608.6907216494845,607.6907216494845,73418.0,1.0,1.0,0.0,1.0,False,False,False
adaptive_c1_stem_reference,pcitc.bench,3,3,1.0,0.0,99.82599999999998,0.0,99.82599999999998,0.0,False,5909.666666666667,2.0816659994661326,5944.666666666667,-35.0,-0.5887630368958169,12.644333333333334,0.5268636762326032,12.805666666666667,-0.16133333333333333,-1.2598589166254524,0.0,0.0,-33.0,39.46489999999999,0.036585789591040946,39.09876666666666,0.3661333333333303,10.875053918044573,9.875053918044573,17583.0,1.0,1.0,0.0,1.0,True,True,True
history_ordering,DMAtc.bench,3,3,1.0,0.0,94.562,0.0,94.562,0.0,False,10778.666666666666,3.5118845842842465,10723.666666666666,55.0,0.5128842746573001,23.86666666666667,0.06650062656346385,35.94433333333333,-12.077666666666662,-33.60103122420779,0.0,0.0,-17396.0,-15.61133333333334,0.04175192610327839,-16.269100000000005,0.6577666666666655,6.717012145009588,5.717012145009588,14685.0,1.0,1.0,1.0,1.0,True,True,True
history_ordering,destc.bench,3,3,1.0,0.0,100.0,0.0,100.0,0.0,False,366.3333333333333,3.0550504633038935,351.6666666666667,14.666666666666629,4.170616113744065,11.044333333333334,0.219877996473802,17.833333333333332,-6.788999999999998,-38.069158878504666,0.0,0.0,0.0,95.23223333333334,0.04588532808353507,94.7,0.5322333333333376,760.8634020618557,759.8634020618557,74190.0,1.0,1.0,1.0,1.0,True,True,True
history_ordering,pcitc.bench,3,3,1.0,0.0,99.82599999999998,0.0,99.82599999999998,0.0,False,5950.333333333333,1.1547005383792515,5944.666666666667,5.66666666666606,0.09532353930693159,10.155666666666667,0.034428670223133694,12.805666666666667,-2.6500000000000004,-20.69396360986022,0.0,0.0,-72.0,39.30709999999999,0.01491710427663517,39.09876666666666,0.2083333333333286,12.553692946058092,11.553692946058092,17505.0,1.0,1.0,1.0,1.0,True,True,True
history_ordering_c1,DMAtc.bench,3,3,1.0,0.0,94.562,0.0,94.562,0.0,False,10759.333333333334,1.1547005383792515,10723.666666666666,35.66666666666788,0.33259768114141197,27.95566666666667,1.461504818101308,35.94433333333333,-7.9886666666666635,-22.225107341908313,0.0,0.0,-17396.0,-15.826900000000009,0.1371299748413842,-16.269100000000005,0.44219999999999615,6.717012145009588,5.717012145009588,14685.0,1.0,1.0,0.0,1.0,True,True,True
history_ordering_c1,destc.bench,3,3,1.0,0.0,100.0,0.0,100.0,0.0,False,348.6666666666667,2.886751345948129,351.6666666666667,-3.0,-0.8530805687203791,15.4,0.5262024325295347,17.833333333333332,-2.433333333333332,-13.644859813084103,0.0,0.0,0.0,94.97333333333334,0.024540239064305882,94.7,0.27333333333334053,760.8634020618557,759.8634020618557,74190.0,1.0,1.0,0.0,1.0,True,True,True
history_ordering_c1,pcitc.bench,3,3,1.0,0.0,99.82599999999998,0.0,99.82599999999998,0.0,False,5946.333333333333,1.5275252316519468,5944.666666666667,1.6666666666660603,0.028036335090266797,10.883333333333335,0.2947411293547829,12.805666666666667,-1.9223333333333326,-15.011583413592932,0.0,0.0,-72.0,39.274333333333324,0.01589727439950832,39.09876666666666,0.17556666666666132,12.553692946058092,11.553692946058092,17505.0,1.0,1.0,0.0,1.0,True,True,True
stem_first_reference,DMAtc.bench,3,3,1.0,0.0,94.569,0.0,94.562,0.007000000000005002,False,10757.333333333334,0.5773502691896257,10723.666666666666,33.66666666666788,0.31394734388114653,32.11666666666667,0.18754288398479077,35.94433333333333,-3.8276666666666657,-10.648873721402536,-5.0,0.0,201.0,-16.216000000000005,0.024523254270176223,-16.269100000000005,0.05310000000000059,5.989009199706911,4.989009199706912,15060.0,1.0,1.0,1.0,1.0,True,True,True
