candidate,benchmark,trial_index,success,timed_out,coverage_below_baseline,candidate_fault_coverage,baseline_fault_coverage,coverage_delta,pattern_delta,pattern_delta_pct,runtime_delta,runtime_delta_pct,score_delta,wins_benchmark,candidate_patterns,baseline_patterns,candidate_runtime,baseline_runtime,candidate_score,baseline_score,run_id,run_dir
phase2_b5_learning,pcitc.bench,1,True,False,False,99.826,99.826,0.0,1.0,0.016823687752355317,-2.9499999999999993,-17.335605570899684,0.2849999999999966,True,5945.0,5944.0,14.067,17.017,38.96929999999999,38.68429999999999,20260613-220713_candidate_phase2_b5_learning_trial1_pcitc_6b59905f,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/LLM-Atalanta/results/runs/20260613-220713_candidate_phase2_b5_learning_trial1_pcitc_6b59905f
phase2_b5_learning,pcitc.bench,2,True,False,False,99.826,99.826,0.0,0.0,0.0,-3.0,-17.629429394135276,0.30000000000000426,True,5944.0,5944.0,14.017,17.017,38.9843,38.68429999999999,20260613-220722_candidate_phase2_b5_learning_trial2_pcitc_cc96d23a,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/LLM-Atalanta/results/runs/20260613-220722_candidate_phase2_b5_learning_trial2_pcitc_cc96d23a
phase2_b5_learning,pcitc.bench,3,True,False,False,99.826,99.826,0.0,0.0,0.0,-3.234,-19.00452488687783,0.32339999999999947,True,5944.0,5944.0,13.783,17.017,39.00769999999999,38.68429999999999,20260613-220730_candidate_phase2_b5_learning_trial3_pcitc_e50848a5,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/LLM-Atalanta/results/runs/20260613-220730_candidate_phase2_b5_learning_trial3_pcitc_e50848a5
phase2_b5_learning,destc.bench,1,True,False,False,100.0,100.0,0.0,-4.0,-1.1299435028248588,-6.800000000000001,-20.54380664652568,0.7200000000000131,True,350.0,354.0,26.3,33.1,93.87,93.14999999999999,20260613-220739_candidate_phase2_b5_learning_trial1_destc_dfe91d95,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/LLM-Atalanta/results/runs/20260613-220739_candidate_phase2_b5_learning_trial1_destc_dfe91d95
phase2_b5_learning,destc.bench,2,True,False,False,100.0,100.0,0.0,-7.0,-1.977401129943503,-6.933,-20.94561933534743,0.7633000000000152,True,347.0,354.0,26.167,33.1,93.9133,93.14999999999999,20260613-220754_candidate_phase2_b5_learning_trial2_destc_55f570d2,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/LLM-Atalanta/results/runs/20260613-220754_candidate_phase2_b5_learning_trial2_destc_55f570d2
phase2_b5_learning,destc.bench,3,True,False,False,100.0,100.0,0.0,-5.0,-1.4124293785310735,-7.517000000000003,-22.709969788519647,0.801700000000011,True,349.0,354.0,25.583,33.1,93.9517,93.14999999999999,20260613-220810_candidate_phase2_b5_learning_trial3_destc_29dfba42,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/LLM-Atalanta/results/runs/20260613-220810_candidate_phase2_b5_learning_trial3_destc_29dfba42
phase2_b5_learning,DMAtc.bench,1,True,False,False,94.562,94.562,0.0,0.0,0.0,-2.3999999999999986,-5.351170568561869,0.23999999999999844,True,10723.0,10723.0,42.45,44.85,-16.913000000000007,-17.153000000000006,20260613-220826_candidate_phase2_b5_learning_trial1_DMAtc_09dd99ed,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/LLM-Atalanta/results/runs/20260613-220826_candidate_phase2_b5_learning_trial1_DMAtc_09dd99ed
phase2_b5_learning,DMAtc.bench,2,True,False,False,94.562,94.562,0.0,2.0,0.018651496782616805,-3.0,-6.688963210702341,0.28000000000000114,True,10725.0,10723.0,41.85,44.85,-16.873000000000005,-17.153000000000006,20260613-220851_candidate_phase2_b5_learning_trial2_DMAtc_5278886e,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/LLM-Atalanta/results/runs/20260613-220851_candidate_phase2_b5_learning_trial2_DMAtc_5278886e
phase2_b5_learning,DMAtc.bench,3,True,False,False,94.562,94.562,0.0,1.0,0.009325748391308402,-1.0330000000000013,-2.3032329988851754,0.09329999999999217,True,10724.0,10723.0,43.817,44.85,-17.059700000000014,-17.153000000000006,20260613-220916_candidate_phase2_b5_learning_trial3_DMAtc_0f37f619,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/LLM-Atalanta/results/runs/20260613-220916_candidate_phase2_b5_learning_trial3_DMAtc_0f37f619
compaction_c1_learning,pcitc.bench,1,True,False,False,99.826,99.826,0.0,-1.0,-0.016823687752355317,-2.984,-17.53540577069989,0.3083999999999989,True,5943.0,5944.0,14.033,17.017,38.99269999999999,38.68429999999999,20260613-220943_candidate_compaction_c1_learning_trial1_pcitc_c451fdca,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/LLM-Atalanta/results/runs/20260613-220943_candidate_compaction_c1_learning_trial1_pcitc_c451fdca
