candidate,benchmark,trials,successful_runs,success_rate,timeout_rate,coverage_mean,coverage_std,baseline_coverage_mean,coverage_delta_mean,coverage_below_baseline,patterns_mean,patterns_std,baseline_patterns_mean,pattern_delta_mean,pattern_delta_pct_mean,runtime_mean,runtime_std,baseline_runtime_mean,runtime_delta_mean,runtime_delta_pct_mean,aborted_delta_mean,redundant_delta_mean,backtracking_delta_mean,score_mean,score_std,baseline_score_mean,score_delta_mean,faults_dropped_per_generated_pattern_mean,extra_drops_per_generated_pattern_mean,max_pattern_extra_drops_mean,adaptive_enabled_rate,adaptive_shuffle_limit_mean,adaptive_stopped_early_rate,adaptive_min_benefit_mean,wins_benchmark,runtime_win,stable_win
adaptive_c1_stem_reference,DMAtc.bench,3,3,1.0,0.0,94.569,0.0,94.562,0.007000000000005002,False,10715.333333333334,1.5275252316519468,10723.666666666666,-8.33333333333212,-0.07770973858442809,37.199999999999996,0.4569890589499913,35.94433333333333,1.255666666666663,3.4933647399219057,-5.0,0.0,201.0,-16.304333333333332,0.05632693257521957,-16.269100000000005,-0.03523333333332701,5.989009199706911,4.989009199706912,15060.0,1.0,1.0,0.0,1.0,False,False,False
adaptive_c1_stem_reference,destc.bench,3,3,1.0,0.0,100.0,0.0,100.0,0.0,False,362.6666666666667,6.506407098647712,351.6666666666667,11.0,3.1279620853080567,19.377666666666666,3.39226271584813,17.833333333333332,1.5443333333333342,8.659813084112155,0.0,0.0,-1.0,94.43556666666666,0.27429083712974056,94.7,-0.2644333333333435,608.6907216494845,607.6907216494845,73418.0,1.0,1.0,0.0,1.0,False,False,False
adaptive_c1_stem_reference,pcitc.bench,3,3,1.0,0.0,99.82599999999998,0.0,99.82599999999998,0.0,False,5910.666666666667,1.1547005383792515,5944.666666666667,-34.0,-0.5719412358416508,12.916666666666666,0.11650035765324152,12.805666666666667,0.11099999999999888,0.8668037587526267,0.0,0.0,-33.0,39.42766666666666,0.005976899976856684,39.09876666666666,0.3288999999999973,10.875053918044573,9.875053918044573,17583.0,1.0,1.0,0.0,1.0,True,False,True
history_ordering,DMAtc.bench,3,3,1.0,0.0,94.562,0.0,94.562,0.0,False,10758.0,1.0,10723.666666666666,34.33333333333394,0.32016412296789604,24.038999999999998,0.0788225855957552,35.94433333333333,-11.905333333333335,-33.12158615637143,83.0,-83.0,-19864.0,-15.421900000000006,0.003482814953449461,-16.269100000000005,0.8471999999999991,6.723765996343693,5.723765996343693,14685.0,1.0,1.0,1.0,1.0,True,True,True
history_ordering,destc.bench,3,3,1.0,0.0,100.0,0.0,100.0,0.0,False,370.6666666666667,2.0816659994661326,351.6666666666667,19.0,5.402843601895734,11.911,0.07517978451685016,17.833333333333332,-5.922333333333333,-33.20934579439252,0.0,0.0,0.0,95.10223333333333,0.02087710069270336,94.7,0.4022333333333279,739.887218045113,738.887218045113,74190.0,1.0,1.0,1.0,1.0,True,True,True
history_ordering,pcitc.bench,3,3,1.0,0.0,99.82599999999998,0.0,99.82599999999998,0.0,False,5947.0,1.0,5944.666666666667,2.33333333333303,0.0392508691263827,10.266666666666667,0.13350031210949845,12.805666666666667,-2.5389999999999997,-19.827159851107577,3.0,-3.0,-83.0,39.329333333333324,0.0033501243757980905,39.09876666666666,0.23056666666666104,12.555776892430279,11.555776892430279,17505.0,1.0,1.0,1.0,1.0,True,True,True
history_ordering_c1,DMAtc.bench,3,3,1.0,0.0,94.562,0.0,94.562,0.0,False,10739.666666666666,0.5773502691896257,10723.666666666666,16.0,0.14920269808212366,26.927666666666667,0.428468590836404,35.94433333333333,-9.016666666666666,-25.08508527074272,83.0,-83.0,-19864.0,-15.52743333333334,0.040371442051693116,-16.269100000000005,0.7416666666666654,6.723765996343693,5.723765996343693,14685.0,1.0,1.0,0.0,1.0,True,True,True
history_ordering_c1,destc.bench,3,3,1.0,0.0,100.0,0.0,100.0,0.0,False,352.3333333333333,3.5118845842842465,351.6666666666667,0.6666666666666288,0.18957345971562903,15.75,0.3774917217635384,17.833333333333332,-2.083333333333332,-11.6822429906542,0.0,0.0,0.0,94.90166666666669,0.042524502740580845,94.7,0.2016666666666822,739.887218045113,738.887218045113,74190.0,1.0,1.0,0.0,1.0,True,True,True
history_ordering_c1,pcitc.bench,3,3,1.0,0.0,99.82599999999998,0.0,99.82599999999998,0.0,False,5941.666666666667,0.5773502691896257,5944.666666666667,-3.0,-0.0504654031624986,10.983666666666666,0.20816659994661352,12.805666666666667,-1.822000000000001,-14.228076112137863,3.0,-3.0,-83.0,39.31096666666666,0.015275252316519529,39.09876666666666,0.21219999999999573,12.555776892430279,11.555776892430279,17505.0,1.0,1.0,0.0,1.0,True,True,True
stem_first_reference,DMAtc.bench,3,3,1.0,0.0,94.569,0.0,94.562,0.007000000000005002,False,10760.333333333334,4.932882862316247,10723.666666666666,36.66666666666788,0.3419228497715447,33.7,0.29595438837766974,35.94433333333333,-2.24433333333333,-6.243914200662125,-5.0,0.0,201.0,-16.40433333333333,0.04665000893176012,-16.269100000000005,-0.13523333333332488,5.989009199706911,4.989009199706912,15060.0,1.0,1.0,1.0,1.0,False,True,False
stem_first_reference,destc.bench,3,3,1.0,0.0,100.0,0.0,100.0,0.0,False,392.6666666666667,1.5275252316519468,351.6666666666667,41.0,11.658767772511847,13.666666666666666,0.8340097921087817,17.833333333333332,-4.166666666666666,-23.36448598130841,0.0,0.0,-1.0,94.70666666666666,0.07385609882286587,94.7,0.006666666666660603,608.6907216494845,607.6907216494845,73418.0,1.0,1.0,1.0,1.0,True,True,False
stem_first_reference,pcitc.bench,3,3,1.0,0.0,99.82599999999998,0.0,99.82599999999998,0.0,False,5921.333333333333,0.5773502691896257,5944.666666666667,-23.33333333333394,-0.39250869126388815,11.750333333333332,0.14433756729740643,12.805666666666667,-1.0553333333333352,-8.241143243876424,0.0,0.0,-33.0,39.43763333333333,0.012583057392117295,39.09876666666666,0.338866666666668,10.875053918044573,9.875053918044573,17583.0,1.0,1.0,1.0,1.0,True,True,True
