candidate,benchmark,trials,successful_runs,success_rate,timeout_rate,coverage_mean,coverage_std,baseline_coverage_mean,coverage_delta_mean,coverage_below_baseline,patterns_mean,patterns_std,baseline_patterns_mean,pattern_delta_mean,pattern_delta_pct_mean,runtime_mean,runtime_std,baseline_runtime_mean,runtime_delta_mean,runtime_delta_pct_mean,aborted_delta_mean,redundant_delta_mean,backtracking_delta_mean,score_mean,score_std,baseline_score_mean,score_delta_mean,faults_dropped_per_generated_pattern_mean,extra_drops_per_generated_pattern_mean,max_pattern_extra_drops_mean,adaptive_enabled_rate,adaptive_shuffle_limit_mean,adaptive_stopped_early_rate,adaptive_min_benefit_mean,wins_benchmark,runtime_win,stable_win
adaptive_c1_stem_reference,DMAtc.bench,3,3,1.0,0.0,94.569,0.0,94.562,0.007000000000005002,False,10715.333333333334,1.5275252316519468,10723.333333333334,-8.0,-0.07460366801367734,37.199999999999996,0.4569890589499913,37.41133333333333,-0.21133333333333582,-0.5648912094374321,-5.0,0.0,201.0,-16.304333333333332,0.05632693257521957,-16.412466666666674,0.10813333333334185,5.989009199706911,4.989009199706912,15060.0,1.0,1.0,0.0,1.0,True,True,True
adaptive_c1_stem_reference,destc.bench,3,3,1.0,0.0,100.0,0.0,100.0,0.0,False,362.6666666666667,6.506407098647712,347.3333333333333,15.333333333333371,4.414587332053753,19.377666666666666,3.39226271584813,22.91633333333333,-3.538666666666664,-15.441679151696745,0.0,0.0,-1.0,94.43556666666666,0.27429083712974056,94.23503333333333,0.20053333333332546,608.6907216494845,607.6907216494845,73418.0,1.0,1.0,0.0,1.0,True,True,False
adaptive_c1_stem_reference,pcitc.bench,3,3,1.0,0.0,99.82599999999998,0.0,99.82599999999998,0.0,False,5910.666666666667,1.1547005383792515,5943.0,-32.33333333333303,-0.5440574345167933,12.916666666666666,0.11650035765324152,13.582999999999998,-0.6663333333333323,-4.905641856241864,0.0,0.0,-33.0,39.42766666666666,0.005976899976856684,39.037699999999994,0.38996666666666613,10.875053918044573,9.875053918044573,17583.0,1.0,1.0,0.0,1.0,True,True,True
history_ordering,DMAtc.bench,3,3,1.0,0.0,94.562,0.0,94.562,0.0,False,10758.0,1.0,10723.333333333334,34.66666666666606,0.32328256139259615,24.038999999999998,0.0788225855957552,37.41133333333333,-13.372333333333334,-35.744070424292104,83.0,-83.0,-19864.0,-15.421900000000006,0.003482814953449461,-16.412466666666674,0.9905666666666679,6.723765996343693,5.723765996343693,14685.0,1.0,1.0,1.0,1.0,True,True,True
history_ordering,destc.bench,3,3,1.0,0.0,100.0,0.0,100.0,0.0,False,370.6666666666667,2.0816659994661326,347.3333333333333,23.33333333333337,6.717850287907881,11.911,0.07517978451685016,22.91633333333333,-11.005333333333331,-48.02397125776374,0.0,0.0,0.0,95.10223333333333,0.02087710069270336,94.23503333333333,0.8671999999999969,739.887218045113,738.887218045113,74190.0,1.0,1.0,1.0,1.0,True,True,True
history_ordering,pcitc.bench,3,3,1.0,0.0,99.82599999999998,0.0,99.82599999999998,0.0,False,5947.0,1.0,5943.0,4.0,0.06730607437321219,10.266666666666667,0.13350031210949845,13.582999999999998,-3.316333333333331,-24.41532307541288,3.0,-3.0,-83.0,39.329333333333324,0.0033501243757980905,39.037699999999994,0.29163333333332986,12.555776892430279,11.555776892430279,17505.0,1.0,1.0,1.0,1.0,True,True,True
history_ordering_c1,DMAtc.bench,3,3,1.0,0.0,94.562,0.0,94.562,0.0,False,10739.666666666666,0.5773502691896257,10723.333333333334,16.33333333333212,0.15231582219457993,26.927666666666667,0.428468590836404,37.41133333333333,-10.483666666666664,-28.02270256784931,83.0,-83.0,-19864.0,-15.52743333333334,0.040371442051693116,-16.412466666666674,0.8850333333333342,6.723765996343693,5.723765996343693,14685.0,1.0,1.0,0.0,1.0,True,True,True
history_ordering_c1,destc.bench,3,3,1.0,0.0,100.0,0.0,100.0,0.0,False,352.3333333333333,3.5118845842842465,347.3333333333333,5.0,1.4395393474088292,15.75,0.3774917217635384,22.91633333333333,-7.166333333333331,-31.271727588764918,0.0,0.0,0.0,94.90166666666669,0.042524502740580845,94.23503333333333,0.6666333333333512,739.887218045113,738.887218045113,74190.0,1.0,1.0,0.0,1.0,True,True,True
history_ordering_c1,pcitc.bench,3,3,1.0,0.0,99.82599999999998,0.0,99.82599999999998,0.0,False,5941.666666666667,0.5773502691896257,5943.0,-1.3333333333330302,-0.02243535812439896,10.983666666666666,0.20816659994661352,13.582999999999998,-2.599333333333332,-19.136665930452274,3.0,-3.0,-83.0,39.31096666666666,0.015275252316519529,39.037699999999994,0.27326666666666455,12.555776892430279,11.555776892430279,17505.0,1.0,1.0,0.0,1.0,True,True,True
stem_first_reference,DMAtc.bench,3,3,1.0,0.0,94.569,0.0,94.562,0.007000000000005002,False,10760.333333333334,4.932882862316247,10723.333333333334,37.0,0.34504196456325764,33.7,0.29595438837766974,37.41133333333333,-3.7113333333333287,-9.920344993495721,-5.0,0.0,201.0,-16.40433333333333,0.04665000893176012,-16.412466666666674,0.008133333333343984,5.989009199706911,4.989009199706912,15060.0,1.0,1.0,1.0,1.0,True,True,False
